Drivers,Year,Australia,Malaysia,China,Turkey,Bahrain,Spain,Monaco,Canada,Europe,France,Azerbaijan,Austria,Britain,Germany,Hungary,Belgium,Italy,Netherlands,Singapore,Japan,Russia,Emilia_Romagna,South_Korea,India,Abu_Dhabi,Qatar,Saudi_Arabia,USA,Brazil,Las_Vagas,Miami,Mexico,Total_Points
S. VETTEL,2012,18,-,10,NA,25,8,12,12,-,NA,NA,NA,15,10,12,18,-,NA,25,25,NA,NA,25,25,15,NA,NA,18,8,NA,NA,NA,281
F. ALONSO,2012,10,25,2,NA,6,18,15,10,25,NA,NA,NA,18,25,10,-,15,NA,15,-,NA,NA,15,18,18,NA,NA,15,18,NA,NA,NA,278
K. RAIKKONEN,2012,6,10,-,NA,18,15,2,4,18,NA,NA,NA,10,15,18,15,10,NA,8,8,NA,NA,10,6,25,NA,NA,8,1,NA,NA,NA,207
L. HAMILTON,2012,15,15,15,NA,4,4,10,25,-,NA,NA,NA,4,-,25,-,25,NA,-,10,NA,NA,1,12,-,NA,NA,25,-,NA,NA,NA,190
J. BUTTON,2012,25,-,18,NA,-,2,-,-,4,NA,NA,NA,1,18,8,25,-,NA,18,12,NA,NA,-,10,12,NA,NA,10,25,NA,NA,NA,188
M. WEBBER,2012,12,12,12,NA,12,-,25,6,12,NA,NA,NA,25,4,4,8,-,NA,-,2,NA,NA,18,15,-,NA,NA,-,12,NA,NA,NA,179
F. MASSA,2012,-,-,-,NA,2,-,8,1,-,NA,NA,NA,12,-,2,10,12,NA,4,18,NA,NA,12,8,6,NA,NA,12,15,NA,NA,NA,122
R. GROSJEAN,2012,-,-,8,NA,15,12,-,18,-,NA,NA,NA,8,-,15,-, ,NA,6,-,NA,NA,6,2,-,NA,NA,6,-,NA,NA,NA,96
N. ROSBERG,2012,-,-,25,NA,10,6,18,8,8,NA,NA,NA,-,1,1,-,6,NA,10,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,93
S. PEREZ,2012,4,18,-,NA,-,-,-,15,2,NA,NA,NA,-,8,-,-,18,NA,1,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,66
N. HULKENBERG,2012,-,2,-,NA,-,1,4,-,10,NA,NA,NA,-,2,-,12,-,NA,-,6,NA,NA,8,4,-,NA,NA,4,10,NA,NA,NA,63
K. KOBAYASHI,2012,8,-,1,NA,-,10,-,2,-,NA,NA,NA,-,12,-,-,2,NA,-,15,NA,NA,-,-,8,NA,NA,-,2,NA,NA,NA,60
M. SCHUMACHER,2012,-,1,-,NA,1,-,-,-,15,NA,NA,NA,6,6,-,6,8,NA,-,-,NA,NA,-,-,-,NA,NA,-,6,NA,NA,NA,49
P. di RESTA,2012,1,6,-,NA,8,-,6,-,6,NA,NA,NA,-,-,-,1,4,NA,12,-,NA,NA,-,-,2,NA,NA,-,-,NA,NA,NA,46
P. MALDONADO,2012,-,-,4,NA,-,25,-,-,-,NA,NA,NA,-,-,-,-,-,NA,-,4,NA,NA,-,-,10,NA,NA,2,-,NA,NA,NA,45
B. SENNA,2012,-,8,6,NA,-,-,1,-,1,NA,NA,NA,2,-,6,-,1,NA,-,-,NA,NA,-,1,4,NA,NA,1,-,NA,NA,NA,31
J. VERGNE,2012,-,4,-,NA,-,-,-,-,-,NA,NA,NA,-,-,-,4,-,NA,-,-,NA,NA,4,-,-,NA,NA,-,4,NA,NA,NA,16
D. RICCIARDO,2012,2,-,-,NA,-,-,-,-,-,NA,NA,NA,-,-,-,2,-,NA,2,1,NA,NA,2,-,1,NA,NA,-,-,NA,NA,NA,10
V. PETROV,2012,-,-,-,NA,-,-,-,-,-,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,0
T. GLOCK,2012,-,-,-,NA,-,-,-,-,-,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,0
C. PIC,2012,-,-,-,NA,-,-,-,-,-,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,0
H. KOVALAINEN,2012,-,-,-,NA,-,-,-,-,-,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,0
J. d'AMBROSIO,2012, , , ,NA, , , , , ,NA,NA,NA, , , , ,-,NA, , ,NA,NA, , , ,NA,NA, , ,NA,NA,NA,0
N. KARTHIKEYAN,2012,-,-,-,NA,-,-,-,-,-,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,0
P. de la ROSA,2012,-,-,-,NA,-,-,-,-,-,NA,NA,NA,-,-,-,-,-,NA,-,-,NA,NA,-,-,-,NA,NA,-,-,NA,NA,NA,0
